trace_timestamp_anonymized,request_count,service_accelerator_hours,succeed_request_count,failed_request_count,unfinished_request_count,hour_index
2024-11-15 16:00:00,1.0,0.008888888888888889,1.0,0.0,0.0,0
2024-11-15 17:00:00,0.0,0.0,0.0,0.0,0.0,1
2024-11-15 18:00:00,21.0,0.1625,21.0,0.0,0.0,2
2024-11-15 19:00:00,18.0,0.1988888888888889,18.0,0.0,0.0,3
2024-11-15 20:00:00,4.0,0.057499999999999996,4.0,0.0,0.0,4
2024-11-15 21:00:00,1.0,0.0075,1.0,0.0,0.0,5
2024-11-15 22:00:00,42.0,0.18972222222222224,42.0,0.0,0.0,6
2024-11-15 23:00:00,2.0,0.01,2.0,0.0,0.0,7
2024-11-16 00:00:00,0.0,0.0,0.0,0.0,0.0,8
2024-11-16 01:00:00,8.0,0.04527777777777778,8.0,0.0,0.0,9
2024-11-16 02:00:00,6.0,0.043055555555555555,6.0,0.0,0.0,10
2024-11-16 03:00:00,0.0,0.0,0.0,0.0,0.0,11
2024-11-16 04:00:00,0.0,0.0,0.0,0.0,0.0,12
2024-11-16 05:00:00,0.0,0.0,0.0,0.0,0.0,13
2024-11-16 06:00:00,0.0,0.0,0.0,0.0,0.0,14
2024-11-16 07:00:00,0.0,0.0,0.0,0.0,0.0,15
2024-11-16 08:00:00,0.0,0.0,0.0,0.0,0.0,16
2024-11-16 09:00:00,0.0,0.0,0.0,0.0,0.0,17
2024-11-16 10:00:00,0.0,0.0,0.0,0.0,0.0,18
2024-11-16 11:00:00,0.0,0.0,0.0,0.0,0.0,19
2024-11-16 12:00:00,0.0,0.0,0.0,0.0,0.0,20
2024-11-16 13:00:00,0.0,0.0,0.0,0.0,0.0,21
2024-11-16 14:00:00,0.0,0.0,0.0,0.0,0.0,22
2024-11-16 15:00:00,1.0,0.006944444444444444,1.0,0.0,0.0,23
2024-11-16 16:00:00,2.0,0.022222222222222223,2.0,0.0,0.0,24
2024-11-16 17:00:00,0.0,0.0,0.0,0.0,0.0,25
2024-11-16 18:00:00,0.0,0.0,0.0,0.0,0.0,26
2024-11-16 19:00:00,4.0,0.025277777777777777,4.0,0.0,0.0,27
2024-11-16 20:00:00,0.0,0.0,0.0,0.0,0.0,28
2024-11-16 21:00:00,18.0,0.08777777777777777,18.0,0.0,0.0,29
2024-11-16 22:00:00,39.0,0.38583333333333336,39.0,0.0,0.0,30
2024-11-16 23:00:00,15.0,0.1613888888888889,15.0,0.0,0.0,31
2024-11-17 00:00:00,2.0,0.012222222222222221,2.0,0.0,0.0,32
2024-11-17 01:00:00,0.0,0.0,0.0,0.0,0.0,33
2024-11-17 02:00:00,1.0,0.006111111111111111,1.0,0.0,0.0,34
2024-11-17 03:00:00,11.0,0.05611111111111111,11.0,0.0,0.0,35
2024-11-17 04:00:00,6.0,0.024444444444444446,4.0,2.0,0.0,36
2024-11-17 05:00:00,1.0,0.0038888888888888888,1.0,0.0,0.0,37
2024-11-17 06:00:00,0.0,0.0,0.0,0.0,0.0,38
2024-11-17 07:00:00,0.0,0.0,0.0,0.0,0.0,39
2024-11-17 08:00:00,0.0,0.0,0.0,0.0,0.0,40
2024-11-17 09:00:00,0.0,0.0,0.0,0.0,0.0,41
2024-11-17 10:00:00,0.0,0.0,0.0,0.0,0.0,42
2024-11-17 11:00:00,0.0,0.0,0.0,0.0,0.0,43
2024-11-17 12:00:00,0.0,0.0,0.0,0.0,0.0,44
2024-11-17 13:00:00,0.0,0.0,0.0,0.0,0.0,45
2024-11-17 14:00:00,0.0,0.0,0.0,0.0,0.0,46
2024-11-17 15:00:00,0.0,0.0,0.0,0.0,0.0,47
2024-11-17 16:00:00,0.0,0.0,0.0,0.0,0.0,48
2024-11-17 17:00:00,1.0,0.0077777777777777776,1.0,0.0,0.0,49
2024-11-17 18:00:00,10.0,0.06944444444444445,10.0,0.0,0.0,50
2024-11-17 19:00:00,5.0,0.029722222222222223,5.0,0.0,0.0,51
2024-11-17 20:00:00,0.0,0.0,0.0,0.0,0.0,52
2024-11-17 21:00:00,30.0,0.20777777777777778,30.0,0.0,0.0,53
2024-11-17 22:00:00,19.0,0.15305555555555556,19.0,0.0,0.0,54
